t,u,w,q,theta,theta_deg,V,Q,alpha_raw_deg,alpha_deg,Cx,Cz,Cm,X_cfd,Z_cfd,M_cfd,M_damp,M_bg,M_cable,T,M_thruster
0.25,-0.018897415262885735,0.0800578497745167,0.7715067706844811,0.10332633944922906,5.9201631629769285,0.0822579577556909,3.374934216885075,103.28138710422274,76.71861289577726,-0.5070020692767396,-5.7985836971088744,-0.5673926524247226,-0.009709629185204896,-0.11104904873192926,-0.006791358200609734,-0.215754468556313,0.6319975611846889,0.0,0.0,0.0
0.26,-0.02112314822760045,0.083051991230465,0.79400976427539,0.11115460375796421,6.368689668780349,0.08569609465075066,3.662954529926691,104.26984853631937,75.73015146368061,-0.4672242755590598,-5.811764815122672,-0.5761986458885532,-0.009711460034354821,-0.12080006259006747,-0.007485337361137281,-0.22844489232382392,0.6314651732463895,0.0,0.0,0.0
0.27,-0.02349918082447539,0.08601557910037104,0.8157346007941246,0.11920396488089721,6.829884088901095,0.08916777078851741,3.9657495616986433,105.28015512289844,74.71984487710154,-0.42635741818008477,-5.8244501208147135,-0.5836600647068912,-0.009594596360386424,-0.1310713630103116,-0.008209049634405453,-0.24104050308195338,0.6308773972842056,0.0,0.0,0.0
0.28,-0.026026461652106765,0.08894634262848541,0.8366832585304184,0.12746668267332484,7.303302945714851,0.09267593308466068,4.283940210111342,106.30992789329169,73.69007210670833,-0.37172182574621193,-5.838276295259256,-0.5896028180537839,-0.009036267165908732,-0.14192393542254117,-0.008957989914587633,-0.2535061757422969,0.6302315268164463,0.0,0.0,0.0
0.29,-0.028705057851245327,0.0918419510050123,0.8568592048952022,0.1359350261120708,7.788503284222298,0.09622330440517214,4.618170897128372,107.35655271037369,72.6434472896263,-0.304958212415305,-5.852081965048064,-0.5946250487656615,-0.0079916772029688,-0.1533585525032161,-0.0097391446866153,-0.2658091191502926,0.6295249369169326,0.0,0.0,0.0
0.3,-0.031535567200412826,0.09470013094740382,0.8762664274446247,0.1446012969242015,8.285044025874798,0.09981285889156358,4.96915400106086,108.41798907264238,71.5820109273576,-0.23596366104951438,-5.863620384290414,-0.5995426934796108,-0.006653576927186796,-0.16533922691812364,-0.01056598983943309,-0.27791835723557323,0.6287550927794757,0.0,0.0,0.0
0.31,-0.03451911811590193,0.09751866670035998,0.8949094338800518,0.15345782958702556,8.792485968574377,0.10344786063769268,5.337679504945649,109.49266306638788,70.50733693361212,-0.17548731418398023,-5.870477923135023,-0.6052491452276146,-0.005315276006169805,-0.17780892365174503,-0.011457616873698787,-0.28980474458665334,0.6279195593666054,0.0,0.0,0.0
0.32,-0.03765736965177627,0.10029540003582876,0.9127932520480673,0.16249699132809411,9.31039178667373,0.107131903546224,5.724625878737026,110.57937809836844,69.42062190163153,-0.13258133427454483,-5.868798000143659,-0.6132318889948773,-0.004306823709486347,-0.1906443204204323,-0.01245028972869579,-0.30144097786137386,0.6270160105903798,0.0,0.0,0.0
0.33,-0.040952221413053214,0.10302841521406556,0.9299228932176378,0.1717112138895708,9.838327850940567,0.11086901632189955,6.130979370750378,111.67706513259253,68.32293486740747,-0.09987760123810259,-5.852785150074875,-0.625524059574423,-0.0034747659613316184,-0.2036198143163745,-0.013601333552639821,-0.31280124384888064,0.6260422345729127,0.0,0.0,0.0
0.34,-0.04440446057287588,0.10571591202872811,0.9463018587646382,0.18109295228349695,10.37586186540838,0.11466302880542564,6.557771576808725,112.78414604835574,67.21585395164425,-0.07143292774190595,-5.82822268075412,-0.6390687922242047,-0.0026581674512149334,-0.2168802584207209,-0.014863172316653586,-0.3238601742228272,0.6249961456678027,0.0,0.0,0.0
